"osm_id","name","addr:city","addr:full","addr:housenumber","addr:place","addr:postcode","addr:street","air_conditioning","amenity","area","barrier","building","building:levels","building:roof","building:structure","building:walls","capacity","contact:phone","denomination","description","district","ele","fixme","image","is_in","landuse","layer","level","location","name:de","name:en","name:fr","name:id","name:ru","name:zh","note","official_name","opening_hours","phone","place","place_of_worship","region","religion","service_times","source","subdistrict","tourism","tower:type","url","wall","website","wheelchair","wikidata","wikimedia_commons","wikipedia","geometry"
"97068651","Meru Tumpang Solas",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://photos.app.goo.gl/UNt9jShzcnsiamk27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,"Bing",NA,NA,"pagoda","https://youtu.be/3FaRjT0c_DE",NA,NA,NA,NA,NA,NA,"POLYGON ((115.1667 -8.275221, 115.1666 -8.275224, 115.1666 -8.275138, 115.1667 -8.275135, 115.1667 -8.275221))"
"163562216","Temple",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.1983 -8.158601, 115.1984 -8.158581, 115.1984 -8.158493, 115.1983 -8.158513, 115.1983 -8.158601))"
"163562217","Pura Desa",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.2013 -8.158958, 115.2014 -8.158929, 115.2016 -8.15886, 115.2015 -8.158678, 115.2012 -8.158776, 115.2013 -8.158958))"
"163715363","Pura Braban",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.2128 -8.162212, 115.2128 -8.162374, 115.213 -8.162428, 115.213 -8.162266, 115.2128 -8.162212))"
"163715364","Pura Dalem",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.1921 -8.159313, 115.1922 -8.158723, 115.1929 -8.158758, 115.1929 -8.159349, 115.1921 -8.159313))"
"163715365","Pura Dalem Sangburni",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.1948 -8.150182, 115.195 -8.1503, 115.1951 -8.150097, 115.1949 -8.149979, 115.1948 -8.150182))"
"163715366","Pura Lanting",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.2111 -8.169652, 115.2113 -8.169726, 115.2112 -8.169874, 115.211 -8.1698, 115.2111 -8.169652))"
"163715367","Pura Subak Manuk Sesa",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.203 -8.158728, 115.2034 -8.158553, 115.2032 -8.158165, 115.2028 -8.15834, 115.203 -8.158728))"
"164057765","Pura Desa Bebitin",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.1786 -8.156669, 115.1787 -8.157092, 115.1785 -8.157182, 115.1783 -8.156768, 115.1786 -8.156669))"
"164057766","Pura Desa Sekumpul",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.1865 -8.171521, 115.1867 -8.171355, 115.1869 -8.171516, 115.1867 -8.171682, 115.1865 -8.171521))"
"164057768","Pura Sangah Dukuh",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.1841 -8.172357, 115.1844 -8.172425, 115.1843 -8.172572, 115.1841 -8.172504, 115.1841 -8.172357))"
"164057769","Pura Subak Lanjiaruan",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.1929 -8.166988, 115.1933 -8.166789, 115.1934 -8.167009, 115.1931 -8.167208, 115.1929 -8.166988))"
"168528519","Pura",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.363 -8.129767, 115.3632 -8.129812, 115.3632 -8.129958, 115.3631 -8.130073, 115.3629 -8.130031, 115.363 -8.129767))"
"169557187","Pura Desa Bondalem",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,"balinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((115.3141 -8.116647, 115.3143 -8.116712, 115.3141 -8.117162, 115.314 -8.117095, 115.3141 -8.116647))"
"180802467","Pura Desa Adat dan Pura Puseh",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((114.7698 -8.348927, 114.7697 -8.348921, 114.7696 -8.348917, 114.7696 -8.348792, 114.7696 -8.348652, 114.7696 -8.348523, 114.7696 -8.348503, 114.7697 -8.348381, 114.7697 -8.348243, 114.77 -8.34836, 114.7699 -8.348487, 114.7699 -8.348609, 114.7698 -8.348702, 114.7698 -8.34881, 114.7698 -8.348927))"
"180802473","Pura Puncak Sari",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hindu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLYGON ((114.7727 -8.342526, 114.7725 -8.342481, 114.7723 -8.342465, 114.7722 -8.342821, 114.7722 -8.342839, 114.7722 -8.342844, 114.7723 -8.342845, 114.7726 -8.342871, 114.7726 -8.342696, 114.7727 -8.342705, 114.7727 -8.342526))"
